기존,,,,,,,,,변경,,,,,,,
CO_C_ID,CDVA_ID,STT_DTM,END_DTM,CO_CDVA_NM,CO_C_NM,CDVA_NM,C_SQN_SNO,,CO_C_ID,CDVA_ID,STT_DTM,END_DTM,CO_CDVA_NM,CO_C_NM,CDVA_NM,C_SQN_SNO
IT_PTL_STS_TC,01,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 요청 작성중,1,,IT_PTL_STS_TC,01,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 요청 작성중,1
IT_PTL_STS_TC,09,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 요청 결재완료,2,,IT_PTL_STS_TC,02,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 요청 결재완료,2
IT_PTL_STS_TC,11,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 작업 진행중,3,,IT_PTL_STS_TC,03,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 작업 진행중,3
IT_PTL_STS_TC,19,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 작업 완료,4,,IT_PTL_STS_TC,09,00:00.0,00:00.0,[NULL],프로젝트상태,예산편성 작업 완료,4
IT_PTL_STS_TC,21,00:00.0,00:00.0,[NULL],프로젝트상태,정보기술부문계획 정실협 진행중,5,,IT_PTL_STS_TC,11,00:00.0,00:00.0,[NULL],프로젝트상태,정보기술부문계획 정실협 진행중,5
IT_PTL_STS_TC,29,00:00.0,00:00.0,[NULL],프로젝트상태,정보기술부문계획 정실협 완료,6,,IT_PTL_STS_TC,19,00:00.0,00:00.0,[NULL],프로젝트상태,정보기술부문계획 정실협 완료,6
,,,,,,,,,IT_PTL_STS_TC,21,00:00.0,00:00.0,[NULL],프로젝트상태,사전협의 진행중,7
,,,,,,,,,IT_PTL_STS_TC,22,00:00.0,00:00.0,[NULL],프로젝트상태,사전협의 완료,8
,,,,,,,,,IT_PTL_STS_TC,23,00:00.0,00:00.0,[NULL],프로젝트상태,요구사항 구체화 진행중,9
,,,,,,,,,IT_PTL_STS_TC,24,00:00.0,00:00.0,[NULL],프로젝트상태,요구사항 구체화 완료,10
IT_PTL_STS_TC,31,00:00.0,00:00.0,[NULL],프로젝트상태,타당성검토 정실협 요청 작성중,7,,IT_PTL_STS_TC,31,00:00.0,00:00.0,[NULL],프로젝트상태,타당성검토 정실협 요청 작성중,11
IT_PTL_STS_TC,32,00:00.0,00:00.0,[NULL],프로젝트상태,타당성검토 정실협 진행중,8,,IT_PTL_STS_TC,32,00:00.0,00:00.0,[NULL],프로젝트상태,타당성검토 정실협 진행중,12
IT_PTL_STS_TC,39,00:00.0,00:00.0,[NULL],프로젝트상태,타당성검토 정실협 완료,9,,IT_PTL_STS_TC,39,00:00.0,00:00.0,[NULL],프로젝트상태,타당성검토 정실협 완료,13
IT_PTL_STS_TC,41,00:00.0,00:00.0,[NULL],프로젝트상태,소요예산 산정 요청 작성중,10,,IT_PTL_STS_TC,41,00:00.0,00:00.0,[NULL],프로젝트상태,소요예산 산정 요청 작성중,14
IT_PTL_STS_TC,42,00:00.0,00:00.0,[NULL],프로젝트상태,소요예산 산정 진행중,11,,IT_PTL_STS_TC,42,00:00.0,00:00.0,[NULL],프로젝트상태,소요예산 산정 진행중,15
IT_PTL_STS_TC,49,00:00.0,00:00.0,[NULL],프로젝트상태,소요예산 산정 완료,12,,IT_PTL_STS_TC,49,00:00.0,00:00.0,[NULL],프로젝트상태,소요예산 산정 완료,16
IT_PTL_STS_TC,51,00:00.0,00:00.0,[NULL],프로젝트상태,과업심의위원회 요청 작성중,13,,IT_PTL_STS_TC,51,00:00.0,00:00.0,[NULL],프로젝트상태,과업심의위원회 요청 작성중,17
IT_PTL_STS_TC,52,00:00.0,00:00.0,[NULL],프로젝트상태,과업심의위원회 진행중,14,,IT_PTL_STS_TC,52,00:00.0,00:00.0,[NULL],프로젝트상태,과업심의위원회 진행중,18
IT_PTL_STS_TC,59,00:00.0,00:00.0,[NULL],프로젝트상태,과업심의위원회 완료,15,,IT_PTL_STS_TC,59,00:00.0,00:00.0,[NULL],프로젝트상태,과업심의위원회 완료,19
IT_PTL_STS_TC,61,00:00.0,00:00.0,[NULL],프로젝트상태,입찰/계약 요청 작성중,16,,IT_PTL_STS_TC,61,00:00.0,00:00.0,[NULL],프로젝트상태,입찰/계약 요청 작성중,20
IT_PTL_STS_TC,62,00:00.0,00:00.0,[NULL],프로젝트상태,입찰/계약 진행중,17,,IT_PTL_STS_TC,62,00:00.0,00:00.0,[NULL],프로젝트상태,입찰/계약 진행중,21
IT_PTL_STS_TC,69,00:00.0,00:00.0,[NULL],프로젝트상태,입찰/계약 완료,18,,IT_PTL_STS_TC,69,00:00.0,00:00.0,[NULL],프로젝트상태,입찰/계약 완료,22
IT_PTL_STS_TC,71,00:00.0,00:00.0,[NULL],프로젝트상태,대금지급 요청 작성중,19,,IT_PTL_STS_TC,71,00:00.0,00:00.0,[NULL],프로젝트상태,대금지급 요청 작성중,23
IT_PTL_STS_TC,72,00:00.0,00:00.0,[NULL],프로젝트상태,대금지급 진행중,20,,IT_PTL_STS_TC,72,00:00.0,00:00.0,[NULL],프로젝트상태,대금지급 진행중,24
IT_PTL_STS_TC,79,00:00.0,00:00.0,[NULL],프로젝트상태,대금지급 완료,21,,IT_PTL_STS_TC,79,00:00.0,00:00.0,[NULL],프로젝트상태,대금지급 완료,25
IT_PTL_STS_TC,81,00:00.0,00:00.0,[NULL],프로젝트상태,성과평가 작성중,22,,IT_PTL_STS_TC,81,00:00.0,00:00.0,[NULL],프로젝트상태,성과평가 작성중,26
IT_PTL_STS_TC,89,00:00.0,00:00.0,[NULL],프로젝트상태,성과평가 완료,23,,IT_PTL_STS_TC,89,00:00.0,00:00.0,[NULL],프로젝트상태,성과평가 완료,27
