No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,ABOUT비율,ABU_RATO,NUMBER,8,5,물품의 수량 및 가격에서 허용되는 과부족율(ABOUT율)이다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,ABOUT율,ABU_RT,NUMBER,8,5,신용장(무신용장의 경우는 선적서류)에 기재된 선적수량 혹은 신용장금액에 대한 과부족 허용한도 비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,API변조여부,API_IMT_YN,VARCHAR2,1,,API 위변조가 시도되었는지 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,API인증서내용,API_CFA_CONE,VARCHAR2,2000,,한국은행 API 인증을 위한 키 데이터 내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,API토큰내용,API_TOK_CONE,VARCHAR2,2000,,한국은행 API에서 사용하는 연속된 문자에서 구별할 수 있는 내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,ARS공동망거래건수,ARSN_TR_CNT,NUMBER,10,,ASR공동망을 이용한 거래건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,ARS공동망거래구분코드,ARSN_TR_TC,VARCHAR2,6,,금융결제원에서 거래종류별로 부여한 6자리 외부코드.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,ARS공동망금융결제원전문관리번호,ARSN_KFTC_TGR_MNG_NO,VARCHAR2,12,,금융결제원에서 관리하는 전문관리번호로 금결원에서 채번함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,ARS공동망당행전문관리번호,ARSN_TBN_TGR_MNG_NO,VARCHAR2,8,,ARS공동망에서 전문전송시 당행에서 채번하는 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,ARS공동망수표사고등록구분코드,ARSN_CHK_ACD_ENR_TC,VARCHAR2,2,,ARS공동망 자기앞수표의 사고등록유형을 나타낸다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
