CO_C_NM	CO_C_ID_NM	길이	CDVA_ID	CDVA_NM
결재유형코드	DCD_TP_C	코드VC2	10	요청
결재유형코드	DCD_TP_C	코드VC2	20	검토
결재유형코드	DCD_TP_C	코드VC2	30	협조
결재유형코드	DCD_TP_C	코드VC2	40	확인
결재유형코드	DCD_TP_C	코드VC2	50	결재
결재유형코드	DCD_TP_C	코드VC2	60	병렬협조
결재유형코드	DCD_TP_C	코드VC2	70	부서협조
사업구분코드	ABUS_TC	코드VC2	0	해당없음
사업구분코드	ABUS_TC	코드VC2	10	신규
사업구분코드	ABUS_TC	코드VC2	20	계속
통화코드	CUR_C	코드VC3	0	해당없음
통화코드	CUR_C	코드VC3	ADP	안도라페세타
통화코드	CUR_C	코드VC3	AED	아랍에미레이트디람
통화코드	CUR_C	코드VC3	AFA	아프가니스탄아프가니
통화코드	CUR_C	코드VC3	ALL	알바니아레크
통화코드	CUR_C	코드VC3	AMD	아르메니아드람
통화코드	CUR_C	코드VC3	ANG	네델란드-안틸길더
통화코드	CUR_C	코드VC3	AON	앙골라뉴콴자
통화코드	CUR_C	코드VC3	AOR	앙골라콴자리유스타도
통화코드	CUR_C	코드VC3	ARS	아르헨티나페소
통화코드	CUR_C	코드VC3	ATS	오스트리아실링
통화코드	CUR_C	코드VC3	AUD	호주달러
통화코드	CUR_C	코드VC3	AWG	아루바길더
통화코드	CUR_C	코드VC3	AZM	아제르바이젠마나트
통화코드	CUR_C	코드VC3	BAM	보스니아마르크
통화코드	CUR_C	코드VC3	BBD	바베이도스달러
통화코드	CUR_C	코드VC3	BDT	방글라데시타카
통화코드	CUR_C	코드VC3	BEF	벨기에프랑
통화코드	CUR_C	코드VC3	BGL	불가리아레바1
통화코드	CUR_C	코드VC3	BGN	불가리아레바2
통화코드	CUR_C	코드VC3	BHD	바레인디나르
통화코드	CUR_C	코드VC3	BIF	브룬디프랑
통화코드	CUR_C	코드VC3	BMD	버뮤다달러
통화코드	CUR_C	코드VC3	BND	브루나이달러
통화코드	CUR_C	코드VC3	BOB	볼리비아볼리비아노
통화코드	CUR_C	코드VC3	BOV	볼리비아엠비디오엘
통화코드	CUR_C	코드VC3	BRL	브라질리얼
통화코드	CUR_C	코드VC3	BSD	바하마달러
통화코드	CUR_C	코드VC3	BTN	부탄눌트룸
통화코드	CUR_C	코드VC3	BWP	보츠와나풀라
통화코드	CUR_C	코드VC3	BYB	벨라루스루블
통화코드	CUR_C	코드VC3	BYR	벨라루스루블(신)
통화코드	CUR_C	코드VC3	BZD	벨리즈달러
통화코드	CUR_C	코드VC3	CAD	캐나다달러
통화코드	CUR_C	코드VC3	CDF	콩고프랑
통화코드	CUR_C	코드VC3	CHF	스위스프랑
통화코드	CUR_C	코드VC3	CLF	칠레포멘토
통화코드	CUR_C	코드VC3	CLP	칠레페소
통화코드	CUR_C	코드VC3	CNH	역외중국위안
통화코드	CUR_C	코드VC3	CNY	중국위안
통화코드	CUR_C	코드VC3	COP	콜롬비아페소
통화코드	CUR_C	코드VC3	CRC	코스타리카콜론
통화코드	CUR_C	코드VC3	CUP	쿠바페소
통화코드	CUR_C	코드VC3	CVE	까뽀베르데에스쿠도
통화코드	CUR_C	코드VC3	CYP	사이프러스파운드
통화코드	CUR_C	코드VC3	CZK	체코코루나
통화코드	CUR_C	코드VC3	DEM	독일마르크
통화코드	CUR_C	코드VC3	DJF	지부티프랑
통화코드	CUR_C	코드VC3	DKK	덴마아크크로네
통화코드	CUR_C	코드VC3	DOP	도미니카페소
통화코드	CUR_C	코드VC3	DZD	알제리디나르
통화코드	CUR_C	코드VC3	ECS	에쿠아도르수크리
통화코드	CUR_C	코드VC3	ECV	에쿠아도르콘스탄테
통화코드	CUR_C	코드VC3	EEK	에스토니아크룬
통화코드	CUR_C	코드VC3	EGP	이집트파운드
통화코드	CUR_C	코드VC3	ERN	에리트리아 나크파
통화코드	CUR_C	코드VC3	ESP	스페인페세타
통화코드	CUR_C	코드VC3	ETB	이디오피아비르
통화코드	CUR_C	코드VC3	EUR	유로
통화코드	CUR_C	코드VC3	FIM	핀란드마르카
통화코드	CUR_C	코드VC3	FJD	피지달러
통화코드	CUR_C	코드VC3	FKP	파크랜드-아일랜드파운드
통화코드	CUR_C	코드VC3	FRF	프랑스프랑
통화코드	CUR_C	코드VC3	GBP	영국파운드
통화코드	CUR_C	코드VC3	GEL	그루지아라리
통화코드	CUR_C	코드VC3	GHC	가나세디
통화코드	CUR_C	코드VC3	GIP	지브롤터파운드
통화코드	CUR_C	코드VC3	GMD	감비아달라시
통화코드	CUR_C	코드VC3	GNF	기니프랑
통화코드	CUR_C	코드VC3	GRD	그리스드라크마
통화코드	CUR_C	코드VC3	GTQ	과테말라케잘
통화코드	CUR_C	코드VC3	GWP	기니-비소페소
통화코드	CUR_C	코드VC3	GYD	가이아나달러
