"category","table","column","field","local","prod","detail"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","APF_DCM_NO","컬럼코멘트","신청서식별번호(전자결재)","신청서식별번호","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","CHG_DTM","컬럼코멘트","","변경일시","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","CHG_DTT_YN","컬럼코멘트","","변경구분여부","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","CHG_USID","컬럼코멘트","","변경사용자ID","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","CNFM_DTM","컬럼코멘트","","확인일시","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","CNFM_USID","컬럼코멘트","","확인사용자ID","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","FL_MPN_ID","컬럼코멘트","첨부파일관리번호","파일매핑ID","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","IT_PTL_ASCT_ID","컬럼코멘트","","IT포탈협의회ID","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","LOG_HIS_TGR_SNO","컬럼코멘트","","로그이력전문일련번호","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","PRTY_IVG_OMT_YN","컬럼코멘트","","타당성검토생략여부","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","RQS_DTM","컬럼코멘트","","신청일시","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPL","RQS_USID","컬럼코멘트","","신청사용자ID","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPM","APF_DCM_NO","컬럼코멘트","신청서식별번호(전자결재)","신청서식별번호","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPM","FL_MPN_ID","컬럼코멘트","첨부파일관리번호","파일매핑ID","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPM","IT_PTL_ASCT_ID","컬럼코멘트","협의회ID","IT포탈협의회ID","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BASKPM","PRTY_IVG_OMT_YN","컬럼코멘트","타당성검토생략여부(확인결과)","타당성검토생략여부","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_BPROJA","CNCD_RFR_NO","컬럼코멘트","관련참조번호(단계 원본문서 key)","관련참조번호","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_CCODEL","CO_C_ID_NM","컬럼코멘트","공통코드ID","공통코드ID명","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_CCODEM","CO_C_ID_NM","컬럼코멘트","공통코드ID","공통코드ID명","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_CRTOKM","AVL_YN","컬럼코멘트","유효여부(Y=활성 토큰, N=회전된 구토큰 → 재제출 시 재사용 탐지)","유효여부","컬럼코멘트 불일치"
"COLUMN_COMMENT_DIFF","TPRMPP_CRTOKM","FAM_NM","컬럼코멘트","가족명(토큰패밀리=로그인 1회, 재사용 탐지용)","가족명","컬럼코멘트 불일치"
