"category","table","column","field","local","prod","detail"
"COLUMN_DEFAULT_DIFF","TPRMPP_BASKPL","DEL_YN","Default Value","","'N'","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BASKPL","FST_ENR_DTM","Default Value","","sysdate","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BASKPL","FST_ENR_USID","Default Value","","'00000000000000'","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BASKPL","GUID","Default Value","","'00000000000000000000000000000000000000'","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BASKPL","GUID_PRG_SNO","Default Value","","0","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BASKPL","LST_CHG_DTM","Default Value","","sysdate","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BASKPL","LST_CHG_USID","Default Value","","'00000000000000'","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BCONTM","LST_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BDELIM","LST_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BDELIM","TASK_DBR_OMT_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BESTIM","LST_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BITEMM","ITR_INFR_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BITEMM","LST_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BITEMM","SECT_SYS_UTZ_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BPAYMM","LST_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BPROJM","DPL_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_BPROJM","ODN_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CAPPLM","DCD_REQ_DTM","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CAUTHI","USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBCM","ANC_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBCM","APG_FL_NBR","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBCM","FL_APG_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBCM","GRP_SQN_SNO","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBCM","NAC_INQ_NBR","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBCM","NAC_LEV_MNG_SNO","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBCM","SRE_USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBMM","APG_FL_USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBMM","CMMT_USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBMM","HED_TAG_USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBMM","REP_FNC_USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBMM","SRE_SQN_SNO","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CBLBMM","USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CCMMTM","CMMT_DEP_NBR","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CCMMTM","CMMT_SQN_SNO","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CCMMTM","SRE_USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CINFMM","INQ_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CMENUD","USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CMENUM","HID_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CROLEI","USE_YN","Default Value","NULL","","Default Value 불일치"
"COLUMN_DEFAULT_DIFF","TPRMPP_CRTOKM","FAM_NM","Default Value","'LEGACY'","","Default Value 불일치"
