"category","table","column","field","local","prod","detail"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","CGPR_OPNN_CONE","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","CHG_DTM","NULL여부","N","Y","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","DEL_YN","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","FL_MPN_ID","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","FST_ENR_DTM","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","FST_ENR_USID","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","GUID","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","GUID_PRG_SNO","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","IT_PTL_ASCT_ID","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","LST_CHG_DTM","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","LST_CHG_USID","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","RQS_DTM","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BASKPL","RQS_USID","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BPROJM","ABUS_MNG_NO","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_BPROJM","SNO","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_CRTOKM","FAM_NM","NULL여부","N","Y","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_CRTOKM","LGN_LOG_SNO","NULL여부","Y","N","NULL여부 불일치"
"COLUMN_NULL_DIFF","TPRMPP_CUSERI","ENO","NULL여부","Y","N","NULL여부 불일치"
