"category","table","column","field","local","prod","detail"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","CHECKSUM","컬럼","NUMBER(*,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","DESCRIPTION","컬럼","VARCHAR2(200)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","EXECUTION_TIME","컬럼","NUMBER(*,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","INSTALLED_BY","컬럼","VARCHAR2(100)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","INSTALLED_ON","컬럼","TIMESTAMP(6)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","INSTALLED_RANK","컬럼","NUMBER(*,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","SCRIPT","컬럼","VARCHAR2(1000)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","SUCCESS","컬럼","NUMBER(1,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","TYPE","컬럼","VARCHAR2(20)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","VERSION","컬럼","VARCHAR2(50)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BASKPL","PRTY_IVG_OMT_RSN_TC","컬럼","VARCHAR2(2)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BASKPM","PRTY_IVG_OMT_RSN_TC","컬럼","VARCHAR2(2)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BCOSTL","PRLM_HRK_OGZ_C_CONE","컬럼","VARCHAR2(100)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BPROJL","SVN_TEM_C","컬럼","VARCHAR2(5)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BRDOCL","SVN_DPM_C","컬럼","VARCHAR2(20)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BRDOCL","SVN_TEM_C","컬럼","VARCHAR2(5)","","로컬 DDL에만 존재"
