"category","table","column","field","local","prod","detail"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTL","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTM","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASKPL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASKPL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASKPM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BBUGTL","FNT_TB_CRY_SNO","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BBUGTL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BBUGTL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BBUGTL","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BBUGTM","FNT_TB_CRY_SNO","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BBUGTM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BBUGTM","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCHKLL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCHKLL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCHKLL","QUEL_RCRD","컬럼타입","NUMBER(5,0)","NUMBER(5)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCHKLM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCHKLM","QUEL_RCRD","컬럼타입","NUMBER(5,0)","NUMBER(5)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCMMTL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
