"category","table","column","field","local","prod","detail"
"TABLE_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","","테이블","","","로컬 DDL에만 존재"
"TABLE_COMMENT_DIFF","TPRMPP_BASKPL","","테이블코멘트","정보화실무협의회 타당성검토 생략판정요청 변경 로그","프로젝트관리_협의회제외요청변경로그","테이블 코멘트 불일치"
"TABLE_COMMENT_DIFF","TPRMPP_BASKPM","","테이블코멘트","정보화실무협의회 타당성검토 생략판정요청","프로젝트관리_협의회제외요청기본","테이블 코멘트 불일치"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","CHECKSUM","컬럼","NUMBER(*,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","DESCRIPTION","컬럼","VARCHAR2(200)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","EXECUTION_TIME","컬럼","NUMBER(*,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","INSTALLED_BY","컬럼","VARCHAR2(100)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","INSTALLED_ON","컬럼","TIMESTAMP(6)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","INSTALLED_RANK","컬럼","NUMBER(*,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","SCRIPT","컬럼","VARCHAR2(1000)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","SUCCESS","컬럼","NUMBER(1,0)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","TYPE","컬럼","VARCHAR2(20)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","FLYWAY_SCHEMA_HISTORY","VERSION","컬럼","VARCHAR2(50)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BASKPL","PRTY_IVG_OMT_RSN_TC","컬럼","VARCHAR2(2)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BASKPM","PRTY_IVG_OMT_RSN_TC","컬럼","VARCHAR2(2)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BCOSTL","PRLM_HRK_OGZ_C_CONE","컬럼","VARCHAR2(100)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BPROJL","SVN_TEM_C","컬럼","VARCHAR2(5)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BRDOCL","SVN_DPM_C","컬럼","VARCHAR2(20)","","로컬 DDL에만 존재"
"COLUMN_ONLY_LOCAL","TPRMPP_BRDOCL","SVN_TEM_C","컬럼","VARCHAR2(5)","","로컬 DDL에만 존재"
"COLUMN_ONLY_PROD","TPRMPP_BRDOCM","PRLM_HRK_OGZ_C_CONE","컬럼","","VARCHAR2(100)","운영 CSV에만 존재"
"COLUMN_ONLY_PROD","TPRMPP_CRTOKM","ECY_RNW_PUB_TOK_CONE","컬럼","","VARCHAR2(900)","운영 CSV에만 존재"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTL","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BASCTM","SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
