인덱스명	Column	테이블	인덱스 유형	Ascending	Expression	Unique	Tablespace
PK_TPRMPP_CMENUD	SRE_PTH	TPRMPP_CMENUD	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BBIZCM	ABUS_MNG_NO, SNO	TPRMPP_BBIZCM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BBUGTL_01	CHG_DTM	TPRMPP_BBUGTL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BBUGTL	LOG_HIS_TGR_SNO	TPRMPP_BBUGTL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BRDOCM_01	DEL_YN, DOC_MNG_NO, DOC_VRS_SNO, FST_ENR_DTM	TPRMPP_BRDOCM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_BRDOCM_02	FST_ENR_USID, DEL_YN	TPRMPP_BRDOCM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BRDOCM	DOC_MNG_NO, DOC_VRS_SNO	TPRMPP_BRDOCM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPROJA	ABUS_MNG_NO, CNCD_RFR_NO	TPRMPP_BPROJA	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPERFM	IT_PTL_ASCT_ID, EVL_DTP_SNO	TPRMPP_BPERFM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BASKPL	LOG_HIS_TGR_SNO	TPRMPP_BASKPL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BPAYTL	LOG_HIS_TGR_SNO	TPRMPP_BPAYTL	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BESTTM	RQM_BG_REQ_DOC_NO, DOC_VRS_SNO, IPM_OPNN_SNO	TPRMPP_BESTTM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_BPQNAL_01	CHG_DTM	TPRMPP_BPQNAL	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_BPQNAL	LOG_HIS_TGR_SNO	TPRMPP_BPQNAL	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CMFADM_01	END_DTM	TPRMPP_CMFADM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CMFADM	APN_CER_TR_TOK_CONE	TPRMPP_CMFADM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CCODEM_01	CO_C_ID_NM, DEL_YN, STT_DT, END_DT	TPRMPP_CCODEM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_CCODEM_02	CO_C_INTN_NM, DEL_YN, STT_DT, END_DT	TPRMPP_CCODEM	Normal	[NULL]	[NULL]	false	TSIITP01
IX_TPRMPP_CCODEM_03	HRK_CDVA_ID, DEL_YN	TPRMPP_CCODEM	Normal	[NULL]	[NULL]	false	TSIITP01
PK_TPRMPP_CCODEM	CO_C_ID_NM, CDVA_ID, STT_DT	TPRMPP_CCODEM	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_CMENUA	MNU_ID, ATH_ID	TPRMPP_CMENUA	Normal	[NULL]	[NULL]	true	TSIITP01
PK_TPRMPP_BMQNAM	IT_PTL_ASCT_ID, QTN_ID	TPRMPP_BMQNAM	Normal	[NULL]	[NULL]	true	TSIITP01
IX_TPRMPP_CAPPLA_01	APF_DCM_NO, FNT_TB_NM	TPRMPP_CAPPLA	Normal	[NULL]	[NULL]	false	TSIITP01
