No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,도메인그룹
1,0.1퍼센트NPV산출값,P0D1_NPV_CPUT_VL,NUMBER,18,3,수
2,0.1퍼센트NPV산출값시나리오일련번호,P0D1_NPV_CPUT_VL_SRO_SNO,NUMBER,9,,일련번호
3,0퍼센트헤어컷여부,P0_HACU_YN,VARCHAR2,1,,여부
4,100BYTE파일사용여부,BYTE100_FL_USE_YN,VARCHAR2,1,,여부
5,100베이시스포인트현재가치금액,BPS100_PV_AMT,NUMBER,18,3,금액
6,100퍼센트EAD금액,P100_EAD_AMT,NUMBER,18,3,금액
7,10개월가산율,M10_ADAL_RT,NUMBER,8,5,율/비율
8,10개월전KCB계좌상태코드,M10_BF_KCB_ACT_STS_C,VARCHAR2,1,,코드
9,10개월전대출건수,M10_BF_LD_CNT,NUMBER,10,,수
10,10개월전대출금액,M10_BF_LD_AMT,NUMBER,18,3,금액
11,10개월전보유신용카드수,M10_BF_HLD_CRC_NBR,NUMBER,10,,수
12,10개월전사용신용카드수,M10_BF_USE_CRC_NBR,NUMBER,10,,수
13,10개월전신용카드총사용금액,M10_BF_CRC_TOT_USE_AMT,NUMBER,18,3,금액
14,10개월전연체대출건수,M10_BF_DECY_LD_CNT,NUMBER,10,,수
15,10개월전연체대출금액,M10_BF_DECY_LD_AMT,NUMBER,18,3,금액
16,10개월전잔액,M10_BF_BBL,NUMBER,18,,금액
17,10개월전총한도합계금액,M10_BF_TOT_LMT_ADU_AMT,NUMBER,18,3,금액
18,10개월전최장연체일수,M10_BF_LGS_DECY_DDS,NUMBER,5,,수
19,10개월전한국신용정보계좌상태코드,M10_BF_NICE_ACT_STS_C,VARCHAR2,1,,코드
20,10개월전할부사용금액,M10_BF_ISTM_USE_AMT,NUMBER,18,3,금액
21,10개월전할부사용신용카드수,M10_BF_ISTM_USE_CRC_NBR,NUMBER,10,,수
22,10개월전현금서비스사용금액,M10_BF_CAV_USE_AMT,NUMBER,18,3,금액
23,10개월전현금서비스사용신용카드수,M10_BF_CAV_USE_CRC_NBR,NUMBER,10,,수
24,10개월전현금서비스한도합계금액,M10_BF_CAV_LMT_ADU_AMT,NUMBER,18,3,금액
25,10개월초과11개월이하금액,M10_XCS_M11_BLW_AMT,NUMBER,18,3,금액
26,10년기준항목명,Y10_BSE_ITM_NM,VARCHAR2,200,,명칭
27,10년누적수익률,Y10_ACM_ERN_RT,NUMBER,13,10,율/비율
28,10년상환예정금액,Y10_RPMP_AMT,NUMBER,18,3,금액
29,10년상환예정이자,Y10_RPMP_INT,NUMBER,18,3,금액
30,10년수수료율,Y10_FEE_RT,NUMBER,8,5,율/비율
31,10년스왑거래환율,Y10_SWP_TR_XCR,NUMBER,11,6,율/비율
32,10년운용수익률,Y10_UTZ_ERN_RT,NUMBER,13,10,율/비율
33,10년유예기준지분율,Y10_GRAE_BSE_QTA_RT,NUMBER,11,6,율/비율
34,10년유예이전익스포저ID,Y10_GRAE_MVG_XPO_ID,VARCHAR2,30,,ID
35,10년유지율,Y10_MATN_RT,NUMBER,8,5,율/비율
36,10년이내상환계획금액,WIY10_REPA_PLN_AMT,NUMBER,18,3,금액
37,10년이내상환계획이자,WIY10_REPA_PLN_INT,NUMBER,18,3,금액
38,10년이상상환계획금액,OVY10_REPA_PLN_AMT,NUMBER,18,3,금액
39,10년이상상환계획이자,OVY10_REPA_PLN_INT,NUMBER,18,3,금액
40,10년이상스왑거래환율,OVY10_SWP_TR_XCR,NUMBER,11,6,율/비율
41,10년적용이율,Y10_ALY_ITSR,NUMBER,15,10,율/비율
42,10년초과15년이하금액,Y10_XCS_Y15_BLW_AMT,NUMBER,18,3,금액
