PRLM_OGZ_C_CONE	BBR_NM	BBR_WREN_NM	ITM_SQN_SNO	PRLM_HRK_OGZ_C_CONE	USE_YN	FST_ENR_USID	FST_ENR_DTM	DEL_YN	GUID	GUID_PRG_SNO	LST_CHG_USID	LST_CHG_DTM
003	전무이사	The Board of Directions	1	002	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
071	기획관리부문	Planning & Administration Division	33	003	Y	IAMADMIN	2026-06-19 10:53:38.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:38.000
074	자본시장부문	Capital Market Division	21	003	Y	IAMADMIN	2026-06-19 10:53:39.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:39.000
087	혁신성장금융부문	Innovation & Growth Banking Division	7	003	Y	IAMADMIN	2026-06-19 10:53:40.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:40.000
078	기업개선본부	Corporate Turnaround &    Restructuring Center	13	008	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
973	KDB유럽	KDB Bank Europe Limited	943	020	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
738	경산지점	Gyeongsan Branch	311	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
760	광주지점	Gwangju Branch	343	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
345	기업금융2실	Corporate Banking Department Ⅱ	77	008	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
784	서부산지점	Seobusan Branch	301	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
705	도곡지점	Dogok Branch	217	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
920	런던지점	London Branch	907	020	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
415	발행시장실	Debt Capital Markets Department	103	074	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
331	서소문지점	Seosomun Branch	245	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
365	지역성장지원실	Regional Development Support Department	55	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
332	마곡지점	Magok Branch	241	050	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
931	양곤지점	Yangon Branch	920	020	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
671	동남권지역본부	Southeast Regional Head Office	209	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
790	울산지점	Ulsan Branch	304	050	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
430	금융결제부	Operations Department	131	018	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
895	제주지점	Jeju Branch	229	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
720	청주지점	Cheongju Branch	339	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
859	판교지점	Pangyo Branch	289	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
477	넥스트라운드실	KDB NextRound Department	67	087	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
949	KDB인도네시아	PT KDB Tifa Finance Tbk	949	020	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
088	남부권투자금융본부	Southern Investment Finance Cente	6	050	Y	IAMADMIN	2026-06-19 10:53:47.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:47.000
467	기업구조조정2실	Corporate Restructuring Department II	85	078	Y	IAMADMIN	2026-06-19 10:53:48.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:48.000
