시퀀스(물리명)(*)	INCREMENT BY(*)	START WITH(*)	MIN VALUE(*)	MAX VALUE(*)	CYCLE여부
SQ_TPRMPP_BASCTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BASCTM_1	1	1	1	9999	Y
SQ_TPRMPP_BASKPL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BBIZCL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BBIZGL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BBIZPL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BBIZSL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BBUGTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BBUGTM_1	1	1	1	9999	Y
SQ_TPRMPP_BCHKLL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BCMMTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BCONTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BCONTM_1	1	1	1	9999	Y
SQ_TPRMPP_BCOSTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BCOSTM_1	1	1	1	9999	Y
SQ_TPRMPP_BDELIL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BDELIM_1	1	1	1	9999	Y
SQ_TPRMPP_BESTIL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BESTIM_1	1	1	1	9999	Y
SQ_TPRMPP_BESTTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BEVALL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BGDOCL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BGDOCM_1	1	1	1	9999	Y
SQ_TPRMPP_BITEML_1	1	1	1	999999999999999000	
SQ_TPRMPP_BITEMM_1	1	1	1	9999	Y
SQ_TPRMPP_BMQNAL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPAYML_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPAYMM_1	1	1	1	9999	Y
SQ_TPRMPP_BPAYTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPERFL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPLANL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPLANM_1	1	1	1	9999	Y
SQ_TPRMPP_BPLEVL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPOVWL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPQNAL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPROJL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BPROJM_1	1	1	1	9999	Y
SQ_TPRMPP_BRDOCL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BRDOCM_1	1	1	1	9999	Y
SQ_TPRMPP_BRIVGL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BRIVGM_1	1	1	1	999999999	
SQ_TPRMPP_BRSLTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BSCHDL_1	1	1	1	999999999999999000	
SQ_TPRMPP_BTERML_1	1	1	1	999999999999999000	
SQ_TPRMPP_BTERMM_1	1	1	1	9999	Y
SQ_TPRMPP_CAPPLA_1	1	1	1	999999999	
SQ_TPRMPP_CAPPLL_1	1	1	1	999999999999999000	
SQ_TPRMPP_CAPPLM_1	1	1	1	99999999	
SQ_TPRMPP_CBLBCL_1	1	1	1	999999999999999000	
SQ_TPRMPP_CBLBCM_1	1	1	1	9999	Y
SQ_TPRMPP_CBLBML_1	1	1	1	999999999999999000	
SQ_TPRMPP_CBLBMM_1	1	1	1	9999	
SQ_TPRMPP_CCMMTL_1	1	1	1	999999999999999000	
SQ_TPRMPP_CCMMTM_1	1	1	1	999999999	
SQ_TPRMPP_CCODEL_1	1	1	1	999999999999999000	
SQ_TPRMPP_CFILEM_1	1	1	1	99999999	
SQ_TPRMPP_CINFMM_1	1	1	1	99999999	
SQ_TPRMPP_CLOGNH_1	1	1	1	9.99999999999999E21	
SQ_TPRMPP_CMENUL_1	1	1	1	999999999999999000	
SQ_TPRMPP_CMENUM_1	1	1	1	9999999	
SQ_TPRMPP_CRTOKM_1	1	1	1	9.99999999999999E21	
