테이블명	테이블한글명	컬럼명	컬럼한글명	"PK여부"	"NULL여부"	Default Value	타입	길이	"소수점"
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	ENO	사원번호	Y	N		VARCHAR2	32	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	USR_ECY_PWD	사용자암호화비밀번호		Y		VARCHAR2	64	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	USR_NM	사용자명		Y		VARCHAR2	100	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	USR_WREN_NM	사용자영문명		Y		VARCHAR2	100	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	BBR_C	부점코드		Y		VARCHAR2	3	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	DTC_BBR_C	파견부점코드		Y		VARCHAR2	3	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	TEM_C	팀코드		Y		VARCHAR2	5	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	TEM_NM	팀명		Y		VARCHAR2	100	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	PT_C	직위코드		Y		VARCHAR2	5	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	PT_C_NM	직위코드명		Y		VARCHAR2	200	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	CADR_TPN	연락처전화번호		Y		VARCHAR2	20	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	CPN_TPN	회사전화번호		Y		VARCHAR2	20	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	INLE_NO	내선번호		Y		VARCHAR2	20	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	ETR_MIL_ADDR_NM	전자우편주소명		Y		VARCHAR2	200	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	DTS_DTL_CONE	직무상세내용		Y		VARCHAR2	2000	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	USE_YN	사용여부		Y		VARCHAR2	1	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CUSERI	프로젝트관리_공통사용자연계	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	LGN_LOG_SNO	로그인로그일련번호	Y	N		NUMBER	22	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	API_TOK_CONE	API토큰내용		N		VARCHAR2	2000	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	ECY_RNW_PUB_TOK_CONE	암호화갱신발행토큰내용		Y		VARCHAR2	900	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	ENO	사원번호		N		VARCHAR2	32	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	END_DTM	종료일시		N		DATE		
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	FAM_NM	가족명		N	'LEGACY'	VARCHAR2	100	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	AVL_YN	유효여부		N	'Y'	VARCHAR2	1	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CRTOKM	프로젝트관리_공통갱신토큰기본	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_CROLEI	프로젝트관리_공통역할연계	ATH_ID	권한ID	Y	N		VARCHAR2	32	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	ENO	사원번호	Y	N		VARCHAR2	32	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	USE_YN	사용여부		Y		VARCHAR2	1	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_CROLEI	프로젝트관리_공통역할연계	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CROLEI	프로젝트관리_공통역할연계	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_CORGNI	프로젝트관리_공통조직연계	PRLM_OGZ_C_CONE	인사조직코드내용	Y	N		VARCHAR2	100	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	BBR_NM	부점명		Y		VARCHAR2	100	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	BBR_WREN_NM	부점영문명		Y		VARCHAR2	100	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	ITM_SQN_SNO	항목순서일련번호		Y		NUMBER	9	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	PRLM_HRK_OGZ_C_CONE	인사상위조직코드내용		Y		VARCHAR2	100	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	USE_YN	사용여부		Y		VARCHAR2	1	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_CORGNI	프로젝트관리_공통조직연계	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CORGNI	프로젝트관리_공통조직연계	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	LGN_LOG_SNO	로그인로그일련번호	Y	N		NUMBER	22	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	ENO	사원번호		N		VARCHAR2	32	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	LGN_ERR_RSN	로그인오류사유		Y		VARCHAR2	600	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	IP_ADDR	IP주소		Y		VARCHAR2	20	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	LGN_DTM	로그인일시		N		DATE		
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	IT_PTL_LGN_TC	IT포탈로그인구분코드		Y		VARCHAR2	1	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	AGT_VRS_CONE	에이전트버전내용		Y		VARCHAR2	100	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CLOGNH	프로젝트관리_공통로그인이력	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_CINFMM	프로젝트관리_공통알림기본	INFM_MSG_NO	알림메시지번호	Y	N		VARCHAR2	30	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	IT_PTL_INFM_SVC_TC	IT포탈알림서비스구분코드		Y		VARCHAR2	2	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	TTL	제목		Y		VARCHAR2	100	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	INFM_MSG_CONE	알림메시지내용		Y		VARCHAR2	4000	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	INFM_RCD_URL	알림추천URL		Y		VARCHAR2	300	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	RMS_ENO	수신사원번호		N		VARCHAR2	32	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	INQ_YN	조회여부		Y		VARCHAR2	1	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	INQ_DTM	조회일시		Y		DATE		
TPRMPP_CINFMM	프로젝트관리_공통알림기본	IT_PTL_SD_TC	IT포탈발송구분코드		Y		VARCHAR2	2	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	SD_DTM	발송일시		Y		DATE		
TPRMPP_CINFMM	프로젝트관리_공통알림기본	SD_DOC_CONE	발송문서내용		Y		VARCHAR2	4000	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	INFM_SD_STS_C	알림발송상태코드		N	'10'	VARCHAR2	2	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	RE_TRY_NOT	재시도횟수		Y		NUMBER	5	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	ERR_CONE	오류내용		Y		VARCHAR2	100	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_CINFMM	프로젝트관리_공통알림기본	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CINFMM	프로젝트관리_공통알림기본	LST_CHG_DTM	최종변경일시		N	sysdate	DATE		
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	FL_MPN_ID	파일매핑ID	Y	N		VARCHAR2	36	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	FL_NM	파일명		Y		VARCHAR2	100	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	FL_PYS_NM	파일물리명		Y		VARCHAR2	120	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	FL_KPN_PTH	파일저장경로		Y		VARCHAR2	255	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	FL_TP_CONE	파일유형내용		Y		VARCHAR2	100	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	APG_FL_SZ	첨부파일크기		Y		NUMBER	10	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	APG_FL_PTH	첨부파일경로		Y		VARCHAR2	255	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	APG_FL_KD_NM	첨부파일종류명		Y		VARCHAR2	100
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	APG_FL_LNK_CTZ_NM	첨부파일연결콘텐츠명		Y		VARCHAR2	100
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	FST_ENR_USID	최초등록사용자ID		N	'00000000000000'	VARCHAR2	14	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	FST_ENR_DTM	최초등록일시		N	sysdate	DATE		
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	DEL_YN	삭제여부		N	'N'	VARCHAR2	1	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	GUID	GUID		N	'00000000000000000000000000000000000000'	VARCHAR2	38	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	GUID_PRG_SNO	GUID진행일련번호		N	0	NUMBER	4	
TPRMPP_CFILEM	프로젝트관리_공통첨부파일기본	LST_CHG_USID	최종변경사용자ID		N	'00000000000000'	VARCHAR2	14	
