영문테이블,한글테이블,영문컬럼,한글컬럼,DATA TYPE,NULL 여부,정수,소수점,PK
TPRMPP_BCHKLC,타당성 자체점검,IT_PTL_ASCT_ID,IT포탈협의회ID,VARCHAR2,N,32,,Y
TPRMPP_BCHKLC,타당성 자체점검,IT_PTL_CKG_ITM_TC,IT포탈점검항목구분코드,VARCHAR2,N,2,,Y
TPRMPP_BCHKLC,타당성 자체점검,CKG_OPNN_CONE,점검의견내용,VARCHAR2,Y,1000,,N
TPRMPP_BCHKLC,타당성 자체점검,QUEL_RCRD,문항점수,NUMBER,Y,10,,N
TPRMPP_BCHKLC,타당성 자체점검,DEL_YN,삭제여부,VARCHAR2,Y,1,,N
TPRMPP_BCHKLC,타당성 자체점검,GUID,GUID,VARCHAR2,Y,38,,N
TPRMPP_BCHKLC,타당성 자체점검,GUID_PRG_SNO,GUID진행일련번호,NUMBER,Y,10,,N
TPRMPP_BCHKLC,타당성 자체점검,FST_ENR_USID,최초등록사용자ID,VARCHAR2,Y,14,,N
TPRMPP_BCHKLC,타당성 자체점검,FST_ENR_DTM,최초등록일시,TIMESTAMP,Y,,,N
TPRMPP_BCHKLC,타당성 자체점검,LST_CHG_USID,최종변경사용자ID,VARCHAR2,Y,14,,N
TPRMPP_BCHKLC,타당성 자체점검,LST_CHG_DTM,최종변경일시,TIMESTAMP,Y,,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,LOG_HIS_TGR_SNO,로그이력대상일련번호,NUMBER,N,18,,Y
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CHG_DTT_YN,변경상세여부,VARCHAR2,Y,1,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CHG_DTM,변경일시,TIMESTAMP,Y,,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CHG_USID,변경사용자ID,VARCHAR2,Y,14,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,DEL_YN,,VARCHAR2,Y,1,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,GUID,,VARCHAR2,Y,38,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,GUID_PRG_SNO,,NUMBER,Y,4,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,FST_ENR_DTM,,DATE,Y,,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,FST_ENR_USID,,VARCHAR2,Y,14,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,LST_CHG_DTM,,DATE,Y,,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,LST_CHG_USID,,VARCHAR2,Y,14,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,DOC_MNG_NO,,VARCHAR2,Y,20,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,DOC_VRS_SNO,,NUMBER,Y,9,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,LST_YN,,VARCHAR2,Y,1,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,BG_PRN_TC,,VARCHAR2,Y,3,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CNCD_RFR_NO,,VARCHAR2,Y,30,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,IT_PTL_STS_TC,,VARCHAR2,Y,2,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,REQ_CONE,,VARCHAR2,Y,300,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CTT_MANR_C,,VARCHAR2,Y,2,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CTT_MANR_RSN,,VARCHAR2,Y,1000,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CTT_NM,,VARCHAR2,Y,100,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CTT_AMT,,NUMBER,Y,18,3,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CTT_OPP_NM,,VARCHAR2,Y,100,,N
TPRMPP_BCONTL,입찰계약 기본 변경 로그,CTT_DT,,VARCHAR2,Y,8,,N
TPRMPP_BCONTM,입찰계약 기본,DOC_MNG_NO,문서관리번호,VARCHAR2,N,20,,Y
TPRMPP_BCONTM,입찰계약 기본,DOC_VRS_SNO,문서버전일련번호,NUMBER,N,9,,Y
TPRMPP_BCONTM,입찰계약 기본,LST_YN,최종여부,VARCHAR2,N,1,,N
TPRMPP_BCONTM,입찰계약 기본,BG_PRN_TC,예산성격구분코드(대상구분),VARCHAR2,N,3,,N
TPRMPP_BCONTM,입찰계약 기본,CNCD_RFR_NO,관련참조번호(대상관리번호),VARCHAR2,N,30,,N
TPRMPP_BCONTM,입찰계약 기본,IT_PTL_STS_TC,IT포탈상태구분코드,VARCHAR2,N,2,,N
TPRMPP_BCONTM,입찰계약 기본,REQ_CONE,요청내용,VARCHAR2,Y,300,,N
TPRMPP_BCONTM,입찰계약 기본,CTT_MANR_C,계약방법코드,VARCHAR2,Y,2,,N
TPRMPP_BCONTM,입찰계약 기본,CTT_MANR_RSN,계약방법사유,VARCHAR2,Y,1000,,N
TPRMPP_BCONTM,입찰계약 기본,CTT_NM,계약명,VARCHAR2,Y,100,,N
TPRMPP_BCONTM,입찰계약 기본,CTT_AMT,계약금액,NUMBER,Y,18,3,N
TPRMPP_BCONTM,입찰계약 기본,CTT_OPP_NM,계약상대처명,VARCHAR2,Y,100,,N
TPRMPP_BCONTM,입찰계약 기본,CTT_DT,계약일자,VARCHAR2,Y,8,,N
TPRMPP_BCONTM,입찰계약 기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_BCONTM,입찰계약 기본,GUID,GUID,VARCHAR2,Y,38,,N
TPRMPP_BCONTM,입찰계약 기본,GUID_PRG_SNO,GUID프로그램일련번호,NUMBER,Y,4,,N
TPRMPP_BCONTM,입찰계약 기본,FST_ENR_DTM,최초등록일시,DATE,Y,,,N
TPRMPP_BCONTM,입찰계약 기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,Y,14,,N
TPRMPP_BCONTM,입찰계약 기본,LST_CHG_DTM,최종변경일시,DATE,Y,,,N
TPRMPP_BCONTM,입찰계약 기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,Y,14,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,LOG_HIS_TGR_SNO,,NUMBER,N,18,,Y
TPRMPP_BDELIL,과업심의 기본 변경 로그,CHG_DTT_YN,,VARCHAR2,Y,1,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,CHG_DTM,,TIMESTAMP,Y,,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,CHG_USID,,VARCHAR2,Y,14,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,DEL_YN,,VARCHAR2,Y,1,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,GUID,,VARCHAR2,Y,38,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,GUID_PRG_SNO,,NUMBER,Y,4,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,FST_ENR_DTM,,DATE,Y,,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,FST_ENR_USID,,VARCHAR2,Y,14,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,LST_CHG_DTM,,DATE,Y,,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,LST_CHG_USID,,VARCHAR2,Y,14,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,DOC_MNG_NO,,VARCHAR2,Y,20,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,DOC_VRS_SNO,,NUMBER,Y,9,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,LST_YN,,VARCHAR2,Y,1,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,BG_PRN_TC,,VARCHAR2,Y,3,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,CNCD_RFR_NO,,VARCHAR2,Y,30,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,IT_PTL_STS_TC,,VARCHAR2,Y,2,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,REQ_CONE,,VARCHAR2,Y,300,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,TASK_DBR_TC,,VARCHAR2,Y,2,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,TASK_DBR_RLT_TC,,VARCHAR2,Y,2,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,TASK_DBR_DT,,VARCHAR2,Y,8,,N
TPRMPP_BDELIL,과업심의 기본 변경 로그,TASK_DBR_TOD,,VARCHAR2,Y,2,,N
