TPRMPP_BPROJM
컬럼명	#	Type	Type Mod	Not Null	디폴트	Comment
ABUS_MNG_NO	1	VARCHAR2(30)	[NULL]	true	[NULL]	사업관리번호
SNO	2	NUMBER(9,0)	[NULL]	true	[NULL]	일련번호
ABUS_NM	3	VARCHAR2(100)	[NULL]	false	[NULL]	사업명
ABUS_CONE	4	VARCHAR2(1000)	[NULL]	false	[NULL]	사업내용
ABUS_NCS_CONE	5	VARCHAR2(300)	[NULL]	false	[NULL]	사업필요성내용
ABUS_TC	6	VARCHAR2(2)	[NULL]	true	[NULL]	사업구분코드
BSE_YY	7	VARCHAR2(4)	[NULL]	false	[NULL]	기준연도
CNCD_RFR_NO	8	VARCHAR2(30)	[NULL]	false	[NULL]	관련참조번호
CPN_SAF_CONE	9	VARCHAR2(1000)	[NULL]	false	[NULL]	회사현황내용
DGOG_PPO_CONE	10	VARCHAR2(4000)	[NULL]	false	[NULL]	효과성목적내용
ABUS_RNG_CONE	11	VARCHAR2(600)	[NULL]	false	[NULL]	사업범위내용
DPL_YN	12	VARCHAR2(1)	[NULL]	false	[NULL]	중복여부
STT_DTM	13	DATE	[NULL]	false	[NULL]	시작일시
END_DTM	14	DATE	[NULL]	false	[NULL]	종료일시
EXE_PTT_YN	15	VARCHAR2(1)	[NULL]	false	[NULL]	실행가능성여부
FLF_FSG_DT	16	VARCHAR2(8)	[NULL]	false	[NULL]	이행완료일자
HRF_PLN_CONE	17	VARCHAR2(300)	[NULL]	false	[NULL]	향후계획내용
LST_YN	18	VARCHAR2(1)	[NULL]	false	[NULL]	최종여부
MN_PRG_CONE	19	VARCHAR2(2000)	[NULL]	false	[NULL]	주요진행내용
ODN_YN	20	VARCHAR2(1)	[NULL]	false	[NULL]	경상여부
PLM_DES	21	VARCHAR2(4000)	[NULL]	false	[NULL]	문제설명
PRLM_HRK_OGZ_C_CONE	22	VARCHAR2(100)	[NULL]	false	[NULL]	인사상위조직코드내용
SVN_DPM_C	23	VARCHAR2(20)	[NULL]	false	[NULL]	주관부서코드
SVN_DPM_NM	24	VARCHAR2(100)	[NULL]	false	[NULL]	주관부서명
SVN_TEM_C	25	VARCHAR2(5)	[NULL]	false	[NULL]	주관팀코드
SVN_TEM_NM	26	VARCHAR2(100)	[NULL]	false	[NULL]	주관팀명
TLR_USID	27	VARCHAR2(14)	[NULL]	false	[NULL]	팀장사용자ID
TLR_NM	28	VARCHAR2(100)	[NULL]	false	[NULL]	팀장명
USID	29	VARCHAR2(14)	[NULL]	false	[NULL]	사용자ID
USR_NM	30	VARCHAR2(100)	[NULL]	false	[NULL]	사용자명
DVM_DPM_C	31	VARCHAR2(20)	[NULL]	false	[NULL]	개발부서코드
DVM_TEM_C	32	VARCHAR2(5)	[NULL]	false	[NULL]	개발팀코드
DVM_TLR_USID	33	VARCHAR2(14)	[NULL]	false	[NULL]	개발팀장사용자ID
DVM_USID	34	VARCHAR2(14)	[NULL]	false	[NULL]	개발사용자ID
BZ_DTT_NM	35	VARCHAR2(100)	[NULL]	false	[NULL]	업무구분명
SKL_FLD_NM	36	VARCHAR2(500)	[NULL]	false	[NULL]	기술분야명
CST_TP_TC_NM	37	VARCHAR2(1000)	[NULL]	false	[NULL]	고객유형구분코드명
ABUS_PPO_CONE	38	VARCHAR2(300)	[NULL]	false	[NULL]	사업목적내용
IT_PTL_EDRT_TC	39	VARCHAR2(2)	[NULL]	false	[NULL]	IT포탈전결권구분코드
IT_PTL_RPR_STS_TC	40	VARCHAR2(2)	[NULL]	false	[NULL]	IT포탈보고상태구분코드
TOT_RQM_AMT	41	NUMBER(18,3)	[NULL]	false	[NULL]	총소요금액
