영문테이블,한글테이블,영문컬럼,한글컬럼,DATA TYPE,NULL 여부,정수,소수점,PK
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,ENO,사원번호,VARCHAR2,N,32,,Y
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,USR_ECY_PWD,사용자암호화비밀번호,VARCHAR2,Y,64,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,USR_NM,사용자명,VARCHAR2,Y,100,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,USR_WREN_NM,사용자영문명,VARCHAR2,Y,100,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,BBR_C,부점코드,VARCHAR2,Y,3,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,DTC_BBR_C,파견부점코드,VARCHAR2,Y,3,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,TEM_C,팀코드,VARCHAR2,Y,5,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,TEM_NM,팀명,VARCHAR2,Y,100,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,PT_C,직위코드,VARCHAR2,Y,5,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,PT_C_NM,직위코드명,VARCHAR2,Y,200,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,CADR_TPN,연락처전화번호,VARCHAR2,Y,20,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,CPN_TPN,회사전화번호,VARCHAR2,Y,20,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,INLE_NO,내선번호,VARCHAR2,Y,20,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,ETR_MIL_ADDR_NM,전자우편주소명,VARCHAR2,Y,200,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,DTS_DTL_CONE,직무상세내용,VARCHAR2,Y,2000,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CUSERI,프로젝트관리_공통사용자연계,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,LGN_LOG_SNO,로그인로그일련번호,NUMBER,N,22,,Y
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,API_TOK_CONE,API토큰내용,VARCHAR2,N,2000,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,ENO,사원번호,VARCHAR2,N,32,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,END_DTM,종료일시,DATE,N,,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CRTOKM,프로젝트관리_공통갱신토큰기본,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,ATH_ID,권한ID,VARCHAR2,N,32,,Y
TPRMPP_CROLEI,프로젝트관리_공통역할연계,ENO,사원번호,VARCHAR2,N,32,,Y
TPRMPP_CROLEI,프로젝트관리_공통역할연계,USE_YN,사용여부,VARCHAR2,Y,1,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CROLEI,프로젝트관리_공통역할연계,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,PRLM_OGZ_C_CONE,인사조직코드내용,VARCHAR2,N,100,,Y
TPRMPP_CORGNI,프로젝트관리_공통조직연계,BBR_NM,부점명,VARCHAR2,Y,100,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,BBR_WREN_NM,부점영문명,VARCHAR2,Y,100,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,ITM_SQN_SNO,항목순서일련번호,NUMBER,Y,9,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,PRLM_HRK_OGZ_C_CONE,인사상위조직코드내용,VARCHAR2,Y,100,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CORGNI,프로젝트관리_공통조직연계,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,LGN_LOG_SNO,로그인로그일련번호,NUMBER,N,22,,Y
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,ENO,사원번호,VARCHAR2,N,32,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,LGN_ERR_RSN,로그인오류사유,VARCHAR2,Y,600,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,IP_ADDR,IP주소,VARCHAR2,Y,20,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,LGN_DTM,로그인일시,DATE,N,,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,LGN_TC,로그인구분코드,VARCHAR2,N,1,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,AGT_VRS_CONE,에이전트버전내용,VARCHAR2,Y,100,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CLOGNH,프로젝트관리_공통로그인이력,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,INFM_MSG_NO,알림메시지번호,VARCHAR2,N,30,,Y
TPRMPP_CINFMM,프로젝트관리_공통알림기본,INFM_SVC_TC,알림서비스구분코드,VARCHAR2,N,2,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,TTL,제목,VARCHAR2,Y,100,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,INFM_MSG_CONE,알림메시지내용,VARCHAR2,Y,4000,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,INFM_RCD_URL,알림추천URL,VARCHAR2,Y,300,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,RMS_ENO,수신사원번호,VARCHAR2,N,32,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,INQ_YN,조회여부,VARCHAR2,Y,1,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,INQ_DTM,조회일시,DATE,Y,,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,SD_TC,발송구분코드,VARCHAR2,Y,2,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,SD_DTM,발송일시,DATE,Y,,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,SD_DOC_CONE,발송문서내용,VARCHAR2,Y,4000,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CINFMM,프로젝트관리_공통알림기본,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,FL_MPN_ID,파일매핑ID,VARCHAR2,N,36,,Y
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,FL_NM,파일명,VARCHAR2,Y,100,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,FL_PYS_NM,파일물리명,VARCHAR2,Y,120,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,FL_KPN_PTH,파일저장경로,VARCHAR2,Y,255,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,FL_TP_CONE,파일유형내용,VARCHAR2,Y,100,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,PK_COL_NM,주식별자컬럼명,VARCHAR2,Y,4000,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,PK_CONE,주식별자내용,VARCHAR2,Y,4000,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CFILEM,프로젝트관리_공통첨부파일기본,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,APF_DCM_NO,신청서식별번호,VARCHAR2,N,64,,Y
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,DCR_SQN_SNO,결재자순서일련번호,NUMBER,N,9,,Y
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,DCR_ENO,결재자사원번호,VARCHAR2,Y,32,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,DCR_OPNN_CONE,결재자의견내용,VARCHAR2,Y,2000,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,DCD_TP_C,결재유형코드,VARCHAR2,Y,2,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,DCD_STS_C,결재상태코드,VARCHAR2,Y,1,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,DCD_DTM,결재일시,DATE,Y,,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,LST_DCD_YN,최종결재여부,VARCHAR2,Y,1,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CDECIM,프로젝트관리_공통신청서결재자기본,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,APF_DCM_NO,신청서식별번호,VARCHAR2,N,64,,Y
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,APF_PRG_STS_C,신청서진행상태코드,VARCHAR2,N,2,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,DCD_REQ_TTL,결재요청제목,VARCHAR2,Y,255,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,DCD_REQ_INF,결재요청정보,CLOB,Y,,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,DCD_REQ_DTM,결재요청일시,DATE,Y,,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,DCD_REQ_BBR_C,결재요청부점코드,VARCHAR2,Y,3,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,DCD_REQ_USID,결재요청사용자ID,VARCHAR2,Y,14,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,RGPR_DCD_REQ_CONE,등록자결재요청내용,VARCHAR2,Y,300,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CAPPLM,프로젝트관리_공통신청서기본,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,APF_DCM_NO,신청서식별번호,VARCHAR2,N,64,,Y
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,APF_SNO,신청서일련번호,NUMBER,N,9,,Y
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,FNT_TB_NM,원천테이블명,VARCHAR2,Y,120,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,FNT_TB_CRY_SNO,원천테이블적재일련번호,NUMBER,Y,10,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,PK_COL_NM,주식별자컬럼명,VARCHAR2,Y,4000,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CAPPLA,프로젝트관리_공통신청서관계,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,LOG_HIS_TGR_SNO,로그이력전문일련번호,NUMBER,N,18,,Y
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,APF_DCM_NO,신청서식별번호,VARCHAR2,N,64,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,APF_PRG_STS_C,신청서진행상태코드,VARCHAR2,N,2,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,DCD_REQ_TTL,결재요청제목,VARCHAR2,Y,255,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,DCD_REQ_INF,결재요청정보,CLOB,Y,,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,DCD_REQ_DTM,결재요청일시,DATE,Y,,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,DCD_REQ_BBR_C,결재요청부점코드,VARCHAR2,Y,3,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,DCD_REQ_USID,결재요청사용자ID,VARCHAR2,Y,14,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,RGPR_DCD_REQ_CONE,등록자결재요청내용,VARCHAR2,Y,300,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,CHG_DTT_YN,변경구분여부,VARCHAR2,N,1,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,CHG_DTM,변경일시,DATE,N,,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,CHG_USID,변경사용자ID,VARCHAR2,Y,14,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,FST_ENR_USID,최초등록사용자ID,VARCHAR2,N,14,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,FST_ENR_DTM,최초등록일시,DATE,N,,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,DEL_YN,삭제여부,VARCHAR2,N,1,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,GUID,GUID,VARCHAR2,N,38,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,GUID_PRG_SNO,GUID진행일련번호,NUMBER,N,4,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,LST_CHG_USID,최종변경사용자ID,VARCHAR2,N,14,,N
TPRMPP_CAPPLL,프로젝트관리_공통신청서기본변경로그,LST_CHG_DTM,최종변경일시,DATE,N,,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CO_C_ID,공통코드ID,VARCHAR2,N,20,,Y
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CDVA_ID,코드값ID,VARCHAR2,N,40,,Y
TPRMPP_CCODEM,프로젝트관리_공통코드기본,STT_DTM,시작일시,DATE,N,,,Y
TPRMPP_CCODEM,프로젝트관리_공통코드기본,END_DTM,종료일시,DATE,Y,,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CO_CDVA_NM,공통코드값명,VARCHAR2,Y,500,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CO_C_NM,공통코드명,VARCHAR2,Y,100,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CDVA_NM,코드값명,VARCHAR2,Y,200,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,C_SQN_SNO,코드순서일련번호,NUMBER,Y,9,,N
TPRMPP_CCODEM,프로젝트관리_공통코드기본,CO_C_INTN_NM,공통코드인스턴스명,VARCHAR2,Y,200,,N
