ID	유형	위험도	언어	레퍼런스	체커 타입	체커 키	체커명	라인	파일명	함수	경로	A.S	유사 이슈 그룹	이슈 상태	이슈 담당자	검출 시간	체커 설명	이슈 의견
967078	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	434	ApplicationService.java	bulkApprove	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/approval/service/ApplicationService.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967079	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	103	ApprovalLineDelegate.java	applyRecallInfo	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/approval/service/ApprovalLineDelegate.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967080	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	73	ApprovalLineDelegate.java	doUpdate	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/approval/service/ApprovalLineDelegate.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967081	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	147	NotificationEventListener.java	enqueueAndDispatch	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/notification/event/NotificationEventListener.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967082	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	162	NotificationEventListener.java	enqueueAndDispatch	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/notification/event/NotificationEventListener.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967083	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	73	NotificationEventListener.java	onApprovalCompleted	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/notification/event/NotificationEventListener.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967084	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	130	NotificationEventListener.java	onApprovalRecalled	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/notification/event/NotificationEventListener.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967085	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	47	NotificationRetryScheduler.java	retry	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/notification/scheduler/NotificationRetryScheduler.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967086	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	129	SsoAgentClient.java	authorize	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/sso/SsoAgentClient.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967087	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	60	SsoAgentClient.java	isServerAlive	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/sso/SsoAgentClient.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967088	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	420	SsoController.java	complete	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/sso/SsoController.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967089	신규	높음	Java/JSP		품질	EMPTY_CATCH_BLOCK	빈 catch 블록	678	SsoController.java	invalidateSession	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/sso/SsoController.java	Y		미확인	없음	2026-08-11 0:00	빈 예외 처리 블록 체커는 예외를 처리하는 코드 내용이 없는 예외 처리 블록을 검출합니다.	
967090	신규	높음	Java/JSP		품질	EMPTY_CATCH_BLOCK	빈 catch 블록	635	SsoController.java	resolveVerifiedEno	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/sso/SsoController.java	Y		미확인	없음	2026-08-11 0:00	빈 예외 처리 블록 체커는 예외를 처리하는 코드 내용이 없는 예외 처리 블록을 검출합니다.	
967091	신규	높음	Java/JSP		품질	EMPTY_CATCH_BLOCK	빈 catch 블록	299	AuthController.java	invalidateSession	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/system/controller/AuthController.java	Y		미확인	없음	2026-08-11 0:00	빈 예외 처리 블록 체커는 예외를 처리하는 코드 내용이 없는 예외 처리 블록을 검출합니다.	
967092	신규	보통	Java/JSP		보안	MISSING_LOGIN_CONTROL	누락된 로그인 제어	135	AuthController.java	login	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/system/controller/AuthController.java	N		미확인	없음	2026-08-11 0:00	로그인 입력 횟수 제한 누락 체커는 로그인 입력 횟수를 제한하기 위한 로직을 구현하지 않은 코드를 검출합니다.	
967093	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	119	JwtAuthenticationFilter.java	doFilterInternal	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/common/system/security/JwtAuthenticationFilter.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967094	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	82	CouncilApprovalEventListener.java	handleApprovalCompleted	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/domain/council/service/CouncilApprovalEventListener.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967095	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	56	CouncilSkipApprovalEventListener.java	handleApprovalCompleted	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/domain/council/service/CouncilSkipApprovalEventListener.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967096	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	63	AuditLogIdGenerator.java	fetchNextVal	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/domain/log/id/AuditLogIdGenerator.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
967097	신규	위험	Java/JSP		품질	IMPROPER_CHECK_FOR_UNUSUAL_OR_EXCEPTIONAL_CONDITION	부적절한 예외 처리	61	AuditFailureRecorder.java	record	/sw/sparrow/sparrow5/data/webanalysis/1757/src/src/main/java/com/kdb/it/domain/log/listener/AuditFailureRecorder.java	N		미확인	없음	2026-08-11 0:00	지나치게 일반적인 예외 처리 체커는 너무 다양한 예외를 포괄적으로 처리하는 코드를 검출합니다.	
